PARENT_ID,SEGMENT_ID,SEGMENT_NO,SEGMENT_LENGTH_M,PARENT_LENGTH_M,PARENT_PROPORTION,DIST_TO_SENSOR_203,DIST_TO_SENSOR_215,DIST_TO_SENSOR_270,DIST_TO_SENSOR_452,DIST_TO_SENSOR_463,DIST_TO_SENSOR_500,DIST_TO_SENSOR_501,DIST_TO_SENSOR_672
77,77_16,16,35.000329039830035,1092.94235265156,0.03202394797394082,2466.4576994742224,3166.1922949017985,3637.7281538987727,508.9545430858161,4032.478205770707,10.11620755504777,921.7681962150581,796.4503462567322
77,77_17,17,77.75907522920014,1092.94235265156,0.07114654770267691,2427.949035257107,3089.7970600359185,3578.098734278288,538.8718506246207,4062.897600027541,9.940907502613564,878.5698336911961,790.2566612902006
77,77_18,18,5.560671564782284,1092.94235265156,0.005087799508630696,2423.985706007252,3084.8654855105883,3573.0082280803817,612.6269083203564,4122.704695918136,76.53233832786763,877.1422843397849,790.2566612902006
77,77_19,19,26.772729937479145,1092.94235265156,0.024496012870693955,2403.575125199283,3062.195678926259,3547.748436835185,618.1872093915468,4125.817492505067,81.6407476772023,872.7831943144562,791.700101069216
77,77_20,20,65.77264846697105,1092.94235265156,0.060179430605284606,2341.3542365859553,3024.141733407503,3482.0369531607607,644.9032989622132,4139.110074549636,106.20137255953759,872.7831943144562,801.1240343472136
77,77_21,21,25.575231207279828,1092.94235265156,0.023400347827341857,2317.5716755599447,3008.7717657676512,3456.4618857112177,704.8273011973379,4148.838574355591,161.07026203126657,890.2939554305486,847.6495020946287
77,77_22,22,29.778104556108033,1092.94235265156,0.027245814460263272,2289.5104697948846,2992.015912197625,3426.7117803370556,728.7725025667727,4153.901781290894,184.7222315543441,897.3392713255238,865.7128936879849
77,77_23,23,15.046299836704613,1092.94235265156,0.01376678266717468,2275.2458529450782,2983.887362639875,3411.6966630798756,756.3738245724696,4158.829697017762,212.4397317867114,907.4928558943761,887.9993319225676
77,77_24,24,17.687064835877415,1092.94235265156,0.016182980550591045,2258.0648235447884,2983.8510196515995,3397.4021454170233,770.26633812143,4154.056531262573,226.54143481254502,913.2378430393798,899.6240319188042
77,77_25,25,27.127526247573122,1092.94235265156,0.02482063777815885,2233.8322716546727,2966.382068392528,3370.347348470358,780.6294865294495,4154.056531262573,237.83215905085316,927.8128065888984,917.1886424518237
77,77_26,26,8.059244907073671,1092.94235265156,0.0073738975230682015,2229.9740431147866,2958.6231338287316,3364.0572659843046,807.0581242505378,4162.07921791577,264.7031425547261,933.0310716136154,935.8901278824313
77,77_27,27,6.21646098054012,1092.94235265156,0.005687821471515419,2228.1701550531016,2952.4229654107953,3360.090214502756,814.555572625485,4168.417313849847,271.9106576643979,930.08304984474,937.164128403141
