count_point_id,direction_of_travel,year,count_date,hour,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
26043,N,2024,02/07/2024,17,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,44,2933,29,377,22,0,1,3,3,19,48,3431
26128,S,2021,21/04/2023,17,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,6,25,1529,18,239,20,1,1,1,3,16,42,1853
26128,N,2021,21/04/2023,12,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,4,27,1620,16,362,31,5,30,1,4,27,98,2123
26128,S,2021,21/04/2023,10,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,8,7,1412,18,352,40,4,31,4,3,21,103,1892
26128,N,2023,21/04/2023,8,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,1,34,1718,22,401,39,11,29,3,16,8,106,2281
26128,S,2023,21/04/2023,10,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,1,19,1224,18,309,38,8,26,1,5,16,94,1664
26128,N,2023,21/04/2023,7,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,3,38,1635,27,445,28,13,32,2,10,12,97,2242
26128,N,2023,21/04/2023,9,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,4,23,1310,20,323,38,8,20,2,12,19,99,1775
26128,S,2023,21/04/2023,18,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,1,57,1839,20,134,1,0,2,2,0,2,7,2057
26128,S,2023,21/04/2023,7,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,0,20,1116,14,301,37,8,11,5,7,12,80,1531
26128,N,2023,21/04/2023,16,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,0,25,1549,21,252,6,3,4,1,5,8,27,1874
26128,S,2023,21/04/2023,17,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,5,61,2126,21,219,5,0,4,2,2,4,17,2444
26128,N,2023,21/04/2023,14,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,0,18,1463,17,322,27,5,15,1,3,14,65,1885
26128,N,2023,21/04/2023,11,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,1,17,1245,18,276,35,9,15,1,5,12,77,1633
26128,S,2023,21/04/2023,16,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,4,49,2107,22,333,11,1,9,2,4,12,39,2550
26128,N,2023,21/04/2023,12,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,1,26,1258,17,316,37,6,19,3,8,20,93,1710
26128,S,2023,21/04/2023,8,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,4,16,1459,18,292,41,9,19,4,7,19,99,1884
26128,S,2023,21/04/2023,11,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,1,16,1255,23,383,27,11,23,2,7,15,85,1762
26128,S,2023,21/04/2023,14,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,2,21,1757,24,399,30,5,24,3,6,9,77,2278
26128,N,2023,21/04/2023,13,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,1,21,1429,24,272,36,14,37,3,18,9,117,1863
26128,S,2023,21/04/2023,13,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,1,28,1563,34,318,26,18,21,1,7,11,84,2027
26128,S,2023,21/04/2023,9,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,2,13,1192,24,308,33,7,16,5,6,15,82,1619
26128,N,2023,21/04/2023,17,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,2,37,1626,22,146,11,0,1,3,4,3,22,1853
26128,S,2023,21/04/2023,12,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,1,25,1512,21,349,21,3,21,0,6,21,72,1979
26128,N,2023,21/04/2023,15,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,0,23,1462,29,243,26,2,14,0,6,8,56,1813
26128,S,2023,24/05/2024,15,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,1,31,1795,24,424,23,4,35,4,3,15,84,2358
26128,N,2023,24/05/2024,10,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,4,14,1205,23,321,34,11,21,3,14,9,92,1655
26128,N,2023,24/05/2024,18,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,2,46,1555,17,82,3,0,2,0,5,7,17,1717
26128,N,2024,24/05/2024,7,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,12,38,1588,26,428,20,12,31,8,5,9,85,2165
26128,N,2024,24/05/2024,15,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,2,31,1589,19,253,15,8,14,5,4,13,59,1951
26128,N,2024,24/05/2024,14,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,2,37,1444,19,266,16,7,20,7,6,12,68,1834
26128,N,2024,24/05/2024,10,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,2,19,1361,14,312,27,12,31,10,14,19,113,1819
26128,N,2024,24/05/2024,12,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,2,26,1404,20,251,21,12,26,8,9,13,89,1790
26128,S,2024,24/05/2024,12,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,1,42,1623,22,350,12,10,19,9,8,15,73,2110
26128,N,2024,24/05/2024,11,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,3,15,1297,21,259,19,17,21,9,8,12,86,1678
26128,S,2024,24/05/2024,15,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,3,39,2046,23,466,20,15,28,6,2,10,81,2655
26128,S,2024,24/05/2024,8,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,7,11,1317,15,316,25,19,28,9,12,18,111,1770
26128,N,2024,24/05/2024,13,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,2,34,1399,24,234,18,12,22,9,11,15,87,1778
26128,S,2024,24/05/2024,14,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,2,45,1991,27,384,18,12,26,8,5,13,82,2529
26128,S,2024,24/05/2024,7,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,3,17,1190,15,289,19,17,18,6,9,13,82,1593
26128,N,2024,24/05/2024,17,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,8,48,1563,20,145,6,1,4,1,3,3,18,1794
26128,S,2024,24/05/2024,13,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,1,35,1802,22,428,21,10,18,9,3,9,70,2357
26128,N,2024,24/05/2024,18,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,5,57,1661,22,119,3,2,3,1,1,2,12,1871
26128,S,2024,24/05/2024,17,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,7,73,2315,25,276,3,2,4,3,4,8,24,2713
26128,S,2024,24/05/2024,16,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,9,59,2218,22,341,10,8,12,5,3,5,43,2683
26128,N,2024,24/05/2024,8,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,3,27,1657,31,357,26,16,26,9,9,18,104,2176
26128,N,2024,24/05/2024,9,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,2,26,1458,19,285,23,11,28,8,9,12,91,1879
26128,S,2024,24/05/2024,18,A3029,Major,A4,A370,356750,172000,51.44532537,-2.62371703,0.5,0.31,5,65,1938,27,175,1,0,1,2,2,6,12,2217
