,OBJECTID,SITE_NAME,X,Y,EXTENT_EASTING_1,EXTENT_NORTHING_1,EXTENT_EASTING_2,EXTENT_NORTHING_2,LATIN_NAME,COMMON_NAME,FULL_COMMON_NAME,TREE_SPECIES,DBH,CROWN_AREA_COMPLETE,Data Source,tree_group,CROWN_HEIGHT_interpolated
2582,26611972,Hartcliffe Way,358046.16,170316.25,358046.16,170316.25,358046.16,170316.25,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.3,60.05,Original,deciduous,8.0
2918,26612319,Old Market Street,359576.09,173152.78,359576.09,173152.78,359576.09,173152.78,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,0.48,60.05,Original,deciduous,11.0
2919,26612320,Old Market Street,359587.43,173108.19,359587.43,173108.19,359587.43,173108.19,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.8300000000000001,337.89963270559093,Original,deciduous,21.0
2920,26612321,Old Market Street,359587.34,173098.62,359587.34,173098.62,359587.34,173098.62,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.8300000000000001,337.89963270559093,Original,deciduous,21.0
2927,26612332,Rupert Street,358712.44,173245.32,358712.44,173245.32,358712.44,173245.32,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.3,150.05,Original,deciduous,12.0
2928,26612333,Rupert Street,358729.67,173253.59,358729.67,173253.59,358729.67,173253.59,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,0.45,150.05,Original,deciduous,14.0
2929,26612334,Rupert Street,358712.73,173252.04,358712.73,173252.04,358712.73,173252.04,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,0.5,150.05,Original,deciduous,15.0
2930,26612335,Rupert Street,358708.92,173271.53,358708.92,173271.53,358708.92,173271.53,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.47,60.05,Original,deciduous,11.0
2941,26612346,Rupert Street,358694.74,173235.39,358694.74,173235.39,358694.74,173235.39,Prunus avium Plena,Cherry,Double white cherry,Prunus avium Plena,0.28,60.05,Original,deciduous,10.0
2942,26612347,Rupert Street,358700.26,173232.45,358700.26,173232.45,358700.26,173232.45,Acer platanoides,Maple,Norway maple,Acer platanoides,0.06,2.9820718587587507,Original,deciduous,1.4861679868696245
3012,26612417,William Street,359530.66,174134.27,359530.66,174134.27,359530.66,174134.27,Broussonetia papyrifera,Paper Mulberry,Paper mulberry,Broussonetia papyrifera,0.05,10.0,Original,deciduous,3.0
3597,26613018,Bedminster Road,358053.89,170596.44,358053.89,170596.44,358053.89,170596.44,Tilia x europea,Lime,European lime,Tilia x europea,0.4,60.05,Original,deciduous,9.0
3607,26613028,Bedminster Road,358229.56,170727.71,358229.56,170727.71,358229.56,170727.71,Tilia x europea,Lime,European lime,Tilia x europea,0.42,60.05,Original,deciduous,9.0
3608,26613029,Bedminster Road,358069.29,170607.55,358069.29,170607.55,358069.29,170607.55,Tilia cordata,Lime,Small-leaved lime,Tilia cordata,0.4169710075284318,112.41959917091911,Imputed,deciduous,10.29383227122248
3609,26613030,Bedminster Road,358038.2,170585.31,358038.2,170585.31,358038.2,170585.31,Tilia x europea,Lime,European lime,Tilia x europea,0.47,60.05,Original,deciduous,9.0
3610,26613031,Bedminster Road,358023.06,170574.39,358023.06,170574.39,358023.06,170574.39,Tilia x europea,Lime,European lime,Tilia x europea,0.49,60.05,Original,deciduous,10.0
3611,26613032,Bedminster Road,357996.78,170555.96,357996.78,170555.96,357996.78,170555.96,Tilia x europea,Lime,European lime,Tilia x europea,0.47,60.05,Original,deciduous,10.0
