,Unnamed: 0,OBJECTID,SITE_NAME,X,Y,EXTENT_EASTING_1,EXTENT_NORTHING_1,EXTENT_EASTING_2,EXTENT_NORTHING_2,LATIN_NAME,COMMON_NAME,FULL_COMMON_NAME,TREE_SPECIES,CROWN_WIDTH,CROWN_HEIGHT,DBH,PLANTING_SEASON,CROWN_AREA_MIDPOINT,CROWN_AREA_COMPLETE,Data Source
41646,41646,26651437,Stoke Park Estate,361652.01,177632.31,361652.01,177632.31,361652.01,177632.31,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41647,41647,26651438,Stoke Park Estate,361632.74,177536.17,361632.74,177536.17,361632.74,177536.17,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41648,41648,26651439,Stoke Park Estate,361516.89,177412.2,361516.89,177412.2,361516.89,177412.2,No Code Allocated,,,No Code Allocated,,,0.305455333429082,Not Applicable,,79.50364575536493,Imputed
41649,41649,26651440,Stoke Park Estate,361776.51,177621.61,361776.51,177621.61,361776.51,177621.61,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41650,41650,26651441,Stoke Park Estate,361552.22,177463.6,361552.22,177463.6,361552.22,177463.6,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41651,41651,26651442,Stoke Park Estate,361614.69,177394.73,361614.69,177394.73,361614.69,177394.73,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41652,41652,26651443,Stoke Park Estate,361538.29,177458.01,361538.29,177458.01,361538.29,177458.01,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41653,41653,26651444,Stoke Park Estate,361757.03,177528.44,361757.03,177528.44,361757.03,177528.44,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41654,41654,26651445,Stoke Park Estate,361607.18,177556.71,361607.18,177556.71,361607.18,177556.71,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41655,41655,26651446,Stoke Park Estate,360709.27,175954.87,360709.27,175954.87,360709.27,175954.87,Prunus domestica,,,Prunus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41656,41656,26651447,Stoke Park Estate,360608.54,175903.64,360608.54,175903.64,360608.54,175903.64,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41657,41657,26651448,Stoke Park Estate,360593.74,175892.16,360593.74,175892.16,360593.74,175892.16,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41658,41658,26651449,Stoke Park Estate,360727.09,175918.04,360727.09,175918.04,360727.09,175918.04,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41659,41659,26651450,Stoke Park Estate,360735.21,176018.41,360735.21,176018.41,360735.21,176018.41,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41660,41660,26651451,Stoke Park Estate,360579.53,175892.51,360579.53,175892.51,360579.53,175892.51,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41661,41661,26651452,Stoke Park Estate,360641.15,175960.95,360641.15,175960.95,360641.15,175960.95,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41662,41662,26651453,Stoke Park Estate,360720.64,175924.88,360720.64,175924.88,360720.64,175924.88,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41663,41663,26651454,Stoke Park Estate,360707.55,176020.14,360707.55,176020.14,360707.55,176020.14,Pyrus - Species Unknown,,,Pyrus - Species Unknown,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41664,41664,26651455,Stoke Park Estate,360637.73,175930.83,360637.73,175930.83,360637.73,175930.83,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41665,41665,26651456,Stoke Park Estate,360620.76,175891.12,360620.76,175891.12,360620.76,175891.12,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41666,41666,26651457,Stoke Park Estate,360641.42,175894.43,360641.42,175894.43,360641.42,175894.43,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41667,41667,26651458,Stoke Park Estate,360699.88,176013.8,360699.88,176013.8,360699.88,176013.8,Pyrus - Species Unknown,,,Pyrus - Species Unknown,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41668,41668,26651459,Stoke Park Estate,360746.84,175907.74,360746.84,175907.74,360746.84,175907.74,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41669,41669,26651460,Stoke Park Estate,360658.06,175922.72,360658.06,175922.72,360658.06,175922.72,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41670,41670,26651461,Stoke Park Estate,360686.77,175934.45,360686.77,175934.45,360686.77,175934.45,Pyrus - Species Unknown,,,Pyrus - Species Unknown,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
