OBJECTID,SITE_NAME,X,Y,EXTENT_EASTING_1,EXTENT_NORTHING_1,EXTENT_EASTING_2,EXTENT_NORTHING_2,LATIN_NAME,COMMON_NAME,FULL_COMMON_NAME,TREE_SPECIES,CROWN_WIDTH,CROWN_HEIGHT,MIN_CROWN_AREA,MAX_CROWN_AREA,DBH,PLANTING_SEASON
26635887,Bishport Avenue Flats (Multi Storey),358882.11,167652.45,358882.11,167652.45,358882.11,167652.45,Aesculus hippocastanum,Horse Chestnut,Horse chestnut,Aesculus hippocastanum,7.0,5.0,20.1,100.0,0.24,Not Applicable
26635888,Bishport Avenue Flats (Multi Storey),358872.84,167660.63,358872.84,167660.63,358872.84,167660.63,Aesculus hippocastanum,Horse Chestnut,Horse chestnut,Aesculus hippocastanum,7.0,5.0,20.1,100.0,0.25,Not Applicable
26635889,Bishport Avenue Flats (Multi Storey),358868.81,167664.09,358868.81,167664.09,358868.81,167664.09,Aesculus hippocastanum,Horse Chestnut,Horse chestnut,Aesculus hippocastanum,5.0,4.0,0.0,20.0,0.19,Not Applicable
26635890,Bishport Avenue Flats (Multi Storey),358864.78,167667.27,358864.78,167667.27,358864.78,167667.27,Aesculus hippocastanum,Horse Chestnut,Horse chestnut,Aesculus hippocastanum,6.0,4.0,20.1,100.0,0.21,Not Applicable
26635891,Bishport Avenue Flats (Multi Storey),358849.95,167653.43,358849.95,167653.43,358849.95,167653.43,Betula pendula Dalecarlica,Birch,Swedish birch,Betula pendula Dalecarlica,4.0,4.0,0.0,20.0,0.08,Not Applicable
26635892,Bishport Avenue Flats (Multi Storey),358836.13,167644.21,358836.13,167644.21,358836.13,167644.21,Prunus padus,Cherry,Bird cherry,Prunus padus,7.0,4.0,20.1,100.0,0.23,Not Applicable
26635893,Bishport Avenue Flats (Multi Storey),358834.65,167639.03,358834.65,167639.03,358834.65,167639.03,Prunus padus,Cherry,Bird cherry,Prunus padus,7.0,4.0,20.1,100.0,0.2,Not Applicable
26635894,Bishport Avenue Flats (Multi Storey),358833.53,167641.26,358833.53,167641.26,358833.53,167641.26,Alnus cordata,Alder,Italian alder,Alnus cordata,7.0,10.0,20.1,100.0,0.25,Not Applicable
26635895,Bishport Avenue Flats (Multi Storey),358832.87,167636.99,358832.87,167636.99,358832.87,167636.99,Quercus robur,Oak,English oak,Quercus robur,2.0,2.0,0.0,20.0,0.08,Not Applicable
26635896,Bishport Avenue Flats (Multi Storey),358829.86,167634.8,358829.86,167634.8,358829.86,167634.8,Alnus incana,Alder,Grey alder,Alnus incana,5.0,4.0,0.0,20.0,0.12,Not Applicable
26635897,Bishport Avenue Flats (Multi Storey),358831.02,167637.89,358831.02,167637.89,358831.02,167637.89,Alnus incana,Alder,Grey alder,Alnus incana,7.0,6.0,20.1,100.0,0.2,Not Applicable
26635898,Bishport Avenue Flats (Multi Storey),358816.85,167636.43,358816.85,167636.43,358816.85,167636.43,Pyrus - Species Unknown,Pear,Unidentified pear,Pyrus - Species Unknown,5.0,4.0,0.0,20.0,0.15,Not Applicable
26635899,Bishport Avenue Flats (Multi Storey),358906.66,167456.21,358906.66,167456.21,358906.66,167456.21,Betula utilis jacquemontii,Birch,Jacquemont's birch,Betula utilis jacquemontii,5.0,4.0,0.0,20.0,0.09,Not Applicable
26635900,Bishport Avenue Flats (Multi Storey),358918.67,167451.4,358918.67,167451.4,358918.67,167451.4,Betula utilis jacquemontii,Birch,Jacquemont's birch,Betula utilis jacquemontii,4.0,7.0,20.1,100.0,0.11,Not Applicable
26635901,Bishport Avenue Flats (Multi Storey),358920.42,167453.89,358920.42,167453.89,358920.42,167453.89,Betula utilis jacquemontii,Birch,Jacquemont's birch,Betula utilis jacquemontii,6.0,7.0,20.1,100.0,0.18,Not Applicable
26635902,Bishport Avenue Flats (Multi Storey),358923.77,167455.18,358923.77,167455.18,358923.77,167455.18,Betula utilis jacquemontii,Birch,Jacquemont's birch,Betula utilis jacquemontii,5.0,8.0,20.1,100.0,0.2,Not Applicable
26635903,Bishport Avenue Flats (Multi Storey),358925.61,167455.73,358925.61,167455.73,358925.61,167455.73,Betula utilis jacquemontii,Birch,Jacquemont's birch,Betula utilis jacquemontii,6.0,10.0,20.1,100.0,0.13,Not Applicable
26635904,Bishport Avenue Flats (Multi Storey),358926.33,167452.68,358926.33,167452.68,358926.33,167452.68,Betula utilis jacquemontii,Birch,Jacquemont's birch,Betula utilis jacquemontii,6.0,9.0,20.1,100.0,0.2,Not Applicable
26635905,Bishport Avenue Flats (Multi Storey),358923.33,167451.05,358923.33,167451.05,358923.33,167451.05,Betula utilis jacquemontii,Birch,Jacquemont's birch,Betula utilis jacquemontii,5.0,9.0,20.1,100.0,0.16,Not Applicable
26635906,Bishport Avenue Flats (Multi Storey),358920.53,167449.34,358920.53,167449.34,358920.53,167449.34,Betula utilis jacquemontii,Birch,Jacquemont's birch,Betula utilis jacquemontii,4.0,8.0,20.1,100.0,0.14,Not Applicable
26635907,Bishport Avenue Flats (Multi Storey),358925.31,167447.24,358925.31,167447.24,358925.31,167447.24,Aesculus hippocastanum,Horse Chestnut,Horse chestnut,Aesculus hippocastanum,5.0,5.0,20.1,100.0,0.17,Not Applicable
26635908,Bishport Avenue Flats (Multi Storey),358927.32,167450.32,358927.32,167450.32,358927.32,167450.32,Alnus glutinosa,Alder,Black alder,Alnus glutinosa,6.0,8.0,20.1,100.0,0.15,Not Applicable
26635909,Bishport Avenue Flats (Multi Storey),358925.32,167462.1,358925.32,167462.1,358925.32,167462.1,Betula utilis jacquemontii,Birch,Jacquemont's birch,Betula utilis jacquemontii,4.0,4.0,0.0,20.0,0.08,Not Applicable
26635910,Bishport Avenue Flats (Multi Storey),358934.33,167475.05,358934.33,167475.05,358934.33,167475.05,Betula utilis jacquemontii,Birch,Jacquemont's birch,Betula utilis jacquemontii,4.0,4.0,0.0,20.0,0.07,Not Applicable
26635911,Bishport Avenue Flats (Multi Storey),358921.5,167472.09,358921.5,167472.09,358921.5,167472.09,Betula utilis jacquemontii,Birch,Jacquemont's birch,Betula utilis jacquemontii,4.0,4.0,0.0,20.0,0.1,Not Applicable
26635912,Bishport Avenue Flats (Multi Storey),358940.73,167487.56,358940.73,167487.56,358940.73,167487.56,Aesculus hippocastanum,Horse Chestnut,Horse chestnut,Aesculus hippocastanum,5.0,5.0,20.1,100.0,0.18,Not Applicable
26635913,Bishport Avenue Flats (Multi Storey),358938.27,167486.77,358938.27,167486.77,358938.27,167486.77,Betula pendula,Silver Birch,Silver birch,Betula pendula,5.0,6.0,20.1,100.0,0.15,Not Applicable
