,OBJECTID,X,Y,LATIN_NAME,COMMON_NAME,FULL_COMMON_NAME,TREE_SPECIES,DBH,tree_group,CROWN_VOLUME
2114,26611493,358534.48,173454.21,Alnus cordata,Alder,Italian alder,Alnus cordata,0.38,deciduous,440.3666666666666
2115,26611494,358525.81,173623.92,Sorbus aucuparia Fastigiata,Rowan,Fastigiate rowan,Sorbus aucuparia Fastigiata,0.1368239355581127,deciduous,80.73246829457594
2229,26611611,358763.16,173337.85,Ulmus Dodoens,Elm,Hybrid elm,Ulmus Dodoens,0.3,deciduous,320.26666666666665
2230,26611612,358677.05,173254.38,Acer campestre,Field Maple,Field maple,Acer campestre,0.15,deciduous,26.666666666666664
2231,26611613,358685.34,173262.79,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.63,deciduous,2933.866666666667
2232,26611614,358694.35,173274.37,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.6,deciduous,2750.5
2233,26611615,358747.89,173329.32,Ulmus 'New Horizon',Elm,Elm ' New Horizon',Ulmus 'New Horizon',0.3,deciduous,360.29999999999995
2234,26611616,358753.89,173331.49,Ulmus Dodoens,Elm,Hybrid elm,Ulmus Dodoens,0.3,deciduous,320.26666666666665
2235,26611617,358758.96,173334.4,Ulmus Dodoens,Elm,Hybrid elm,Ulmus Dodoens,0.06,deciduous,6.019939002326155
2236,26611618,358781.35,173344.56,Alnus cordata,Alder,Italian alder,Alnus cordata,0.06,deciduous,4.602610234662795
2573,26611963,358047.91,170304.96,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.25,deciduous,320.26666666666665
2581,26611971,358046.63,170311.6,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.27,deciduous,320.26666666666665
2582,26611972,358046.16,170316.25,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.3,deciduous,320.26666666666665
2918,26612319,359576.09,173152.78,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,0.48,deciduous,440.3666666666666
2919,26612320,359587.43,173108.19,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.8300000000000001,deciduous,4730.594857878273
2920,26612321,359587.34,173098.62,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.8300000000000001,deciduous,4730.594857878273
2927,26612332,358712.44,173245.32,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.3,deciduous,1200.4
2928,26612333,358729.67,173253.59,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,0.45,deciduous,1400.4666666666667
2929,26612334,358712.73,173252.04,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,0.5,deciduous,1500.5
2930,26612335,358708.92,173271.53,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.47,deciduous,440.3666666666666
2941,26612346,358694.74,173235.39,Prunus avium Plena,Cherry,Double white cherry,Prunus avium Plena,0.28,deciduous,400.3333333333333
2942,26612347,358700.26,173232.45,Acer platanoides,Maple,Norway maple,Acer platanoides,0.06,deciduous,2.954573154021368
3012,26612417,359530.66,174134.27,Broussonetia papyrifera,Paper Mulberry,Paper mulberry,Broussonetia papyrifera,0.05,deciduous,20.0
3597,26613018,358053.89,170596.44,Tilia x europea,Lime,European lime,Tilia x europea,0.4,deciduous,360.29999999999995
3607,26613028,358229.56,170727.71,Tilia x europea,Lime,European lime,Tilia x europea,0.42,deciduous,360.29999999999995
3608,26613029,358069.29,170607.55,Tilia cordata,Lime,Small-leaved lime,Tilia cordata,0.4169710075284318,deciduous,771.4856652423352
3609,26613030,358038.2,170585.31,Tilia x europea,Lime,European lime,Tilia x europea,0.47,deciduous,360.29999999999995
3610,26613031,358023.06,170574.39,Tilia x europea,Lime,European lime,Tilia x europea,0.49,deciduous,400.3333333333333
3611,26613032,357996.78,170555.96,Tilia x europea,Lime,European lime,Tilia x europea,0.47,deciduous,400.3333333333333
3612,26613033,357919.61,170513.01,Tilia cordata,Lime,Small-leaved lime,Tilia cordata,0.05,deciduous,20.0
