,Unnamed: 0,OBJECTID,X,Y,LATIN_NAME,COMMON_NAME,FULL_COMMON_NAME,TREE_SPECIES,DBH,tree_group,CROWN_AREA_COMPLETE,CROWN_VOLUME,DISTANCE_TO_SENSOR
1054,41308,26651099,360949.52,171392.37,Metasequoia glyptostroboides,Dawn Redwood,Dawn redwood,Metasequoia glyptostroboides,0.06,deciduous,2.8045902645908924,7.565196602875309,286.9677460970015
1055,41309,26651100,361129.85,171346.23,Quercus frainetto,Oak,Hungarian oak,Quercus frainetto,0.06,deciduous,1.954408476669983,2.962029984834877,224.98283356735828
1056,41310,26651101,361036.59,171472.74,Betula pendula,Silver Birch,Silver birch,Betula pendula,0.06,deciduous,3.593896579522947,8.579590388482538,169.39367077903026
1057,41311,26651102,361042.05,171460.09,Betula pendula,Silver Birch,Silver birch,Betula pendula,0.06,deciduous,3.593896579522947,8.579590388482538,172.33493725882718
1058,41312,26651103,361017.49,171313.08,Metasequoia glyptostroboides,Dawn Redwood,Dawn redwood,Metasequoia glyptostroboides,0.06,deciduous,2.8045902645908924,7.565196602875309,299.55297778524834
1059,41315,26651106,361090.61,171395.75,Juglans regia,Walnut,Common walnut,Juglans regia,0.2323333333333333,deciduous,52.4840971378605,214.213907635376,191.36894889193087
1060,41316,26651107,361095.4,171390.9,Juglans regia,Walnut,Common walnut,Juglans regia,0.2323333333333333,deciduous,52.4840971378605,214.213907635376,193.60467453033823
1061,41317,26651108,361201.72,171415.14,Liquidambar styraciflua ’Worp',American sweetgum,American sweetgum,Liquidambar styraciflua ’Worp',0.06,deciduous,2.8045902645908924,2.90410473160206,152.7133851369763
1062,41320,26651111,361000.02,171453.89,Parrotia persica,Ironwood,Persian ironwood,Parrotia persica,0.06,deciduous,2.8045902645908924,2.861496001911473,210.346220550763
1063,41321,26651112,361011.28,171475.1,Liriodendron tulipifera Fastig,Tulip Tree,Tulip tree cultivar,Liriodendron tulipifera Fastig,0.1356,deciduous,20.997442227712423,62.9927940692239,189.89041155358433
1064,41322,26651113,361057.97,171358.14,Juglans regia,Walnut,Common walnut,Juglans regia,0.2323333333333333,deciduous,52.4840971378605,214.213907635376,240.02704118494836
