,Unnamed: 0,OBJECTID,X,Y,LATIN_NAME,COMMON_NAME,FULL_COMMON_NAME,TREE_SPECIES,DBH,tree_group,CROWN_AREA_COMPLETE,CROWN_VOLUME,DISTANCE_TO_SENSOR
467,27556,26637241,363096.62,175701.47,Fagus sylvatica Pendula,Weeping Beech,Weeping beech,Fagus sylvatica Pendula,0.3,deciduous,60.05,320.26666666666665,203.8056557115103
468,27557,26637242,363076.37,175688.81,Quercus ilex,Oak,Holm oak,Quercus ilex,0.84,deciduous,150.05,1200.4,179.92930000419094
469,27558,26637243,363055.87,175715.93,Betula pendula,Silver Birch,Silver birch,Betula pendula,0.21,deciduous,60.05,480.3999999999999,180.89936926367938
470,27559,26637244,363053.1,175725.82,Betula pendula,Silver Birch,Silver birch,Betula pendula,0.14,deciduous,60.05,400.3333333333333,186.01473705057882
471,27560,26637245,363052.13,175729.8,Acer platanoides,Maple,Norway maple,Acer platanoides,0.17,deciduous,60.05,200.16666666666663,188.28918423530843
472,27561,26637246,363037.67,175733.66,Betula pendula,Silver Birch,Silver birch,Betula pendula,0.11,deciduous,60.05,240.2,181.95709521751925
473,27562,26637247,363033.81,175732.69,Betula pendula,Silver Birch,Silver birch,Betula pendula,0.13,deciduous,60.05,240.2,178.83912379566212
474,27563,26637248,363029.24,175731.61,Betula pendula,Silver Birch,Silver birch,Betula pendula,0.11,deciduous,60.05,240.2,175.24808044596128
475,27564,26637249,363024.05,175730.28,Betula pendula,Silver Birch,Silver birch,Betula pendula,0.1,deciduous,10.0,33.33333333333333,171.1498784691283
476,27565,26637250,363000.67,175732.33,Sorbus - Species Unknown,Sorbus,Unidentified Sorbus,Sorbus - Species Unknown,0.1,deciduous,10.0,20.0,160.72783766352958
477,27566,26637251,363001.88,175728.78,Mixed Species Group,,,Mixed Species Group,0.305455333429082,deciduous,79.50364575536493,212.00972201430648,158.16972782425967
478,27567,26637252,362991.99,175789.1,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.19,deciduous,60.05,360.3,209.7510193062267
479,27568,26637253,363017.3,175803.33,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,0.07,deciduous,60.05,160.13333333333333,232.04607064113887
480,27569,26637254,363036.71,175796.7,Prunus cerasifera Pissardii,Plum,Cherry plum,Prunus cerasifera Pissardii,0.15,deciduous,60.05,200.16666666666663,234.48154319692085
481,27570,26637255,363035.62,175811.04,Acer campestre,Field Maple,Field maple,Acer campestre,0.15,deciduous,60.05,200.16666666666663,246.72905382220915
482,27571,26637256,363046.47,175810.8,Prunus - Species Unknown,Cherry,Unidentified cherry,Prunus - Species Unknown,0.1,deciduous,60.05,240.2,251.52666041592516
483,27572,26637257,363050.57,175807.3,Mixed Species Group,,,Mixed Species Group,0.19,deciduous,60.05,160.13333333333333,250.4735013928553
484,27573,26637258,363051.29,175802.73,Malus John Downie,Apple,Crabapple,Malus John Downie,0.17,deciduous,60.05,160.13333333333333,246.8838532589752
485,27574,26637259,363019.83,175729.8,Betula pendula,Silver Birch,Silver birch,Betula pendula,0.1,deciduous,10.0,33.33333333333333,168.36896655856685
486,27575,26637260,363034.05,175808.38,Acer campestre,Field Maple,Field maple,Acer campestre,0.15,deciduous,60.05,240.2,243.6485725383991
487,27576,26637261,363105.36,175747.64,Acer pseudoplatanus,Sycamore,Sycamore,Acer pseudoplatanus,0.11,deciduous,10.0,20.0,238.78940344998435
488,27577,26637262,363112.4,175712.44,Acer platanoides,Maple,Norway maple,Acer platanoides,0.06,deciduous,10.0,33.33333333333333,223.01684600049666
489,27578,26637263,363082.51,175698.1,Betula pendula,Silver Birch,Silver birch,Betula pendula,0.08,deciduous,10.0,20.0,190.21301243606908
490,27579,26637264,363052.13,175732.57,Acer campestre,Field Maple,Field maple,Acer campestre,0.13,deciduous,60.05,200.16666666666663,190.3548838354382
491,27684,26637370,363121.69,175721.72,Chamaecyparis lawsoniana cv,Cypress,Lawson's cypress cultivar,Chamaecyparis lawsoniana cv,0.27,evergreen,60.05,200.16666666666663,235.89136164768988
492,27685,26637371,363107.7,175738.83,Acer pseudoplatanus,Sycamore,Sycamore,Acer pseudoplatanus,0.08,deciduous,10.0,20.0,234.87285688218728
